Book,Author,ISBN
Victorine,Maude Hutchins,978-1590172704
The Waste Books,Georg Christoph ichtenberg,978-0940322509
Tun-huang,Yasushi Inoue,978-1590173626
Bungleton Green and the Mystic Commandos,Jay Jackson,978-1681376653
Seasons of Splendour,Madhur; Foreman Michael Jaffrey,978-1681377049
Gold,Haleh Liza Jalāl al-Dīn Rūmī; Gafori,978-1681375335
Negrophobia,Darius James,978-1681373294
The Ivory Tower,Henry James,978-1590170786
The New York Stories of Henry James,Henry James,978-1590171622
The Other House,Henry James,978-0940322325
The Outcry,Henry James,978-1590170007
Conundrum,Jan Morris,978-1590171899
Fair Play,Tove Jansson,978-1590173787
The Summer Book,Tove Jansson,978-1590172681
The True Deceiver,Tove Jansson,978-1590173299
The Woman Who Borrowed Memories,Tove Jansson,978-1590177662
Randall Jarrell's Book of Stories,Randall Jarrell,978-1590170052
The Cowshed,Xianlin; Jiang Chenxin Ji,978-1681376578
All Your Racial Problems Will Soon End,Charles Johnson,978-1681376738
The True History of the First Mrs. Meredith and Other Lesser Lives,Diane; Gornick Vivian Johnson,978-1681374451
"Anniversaries, Volume 1",Uwe Johnson,978-1681375557
"Anniversaries, Volume 2",Uwe; Searls Damion Johnson,978-1681375571
In Parenthesis,David Jones,978-1590170366
The Notebooks of Joseph Joubert,Joseph Jourbert,978-1590171486
Herself Surprised,Joyce Carey,978-0940322172
The Horses Mouth,Joyce Carey,978-0940322196
To Be a Pilgrim,Joyce Carey,978-0940322189
The Winners,Julia Cortazar,978-0940322318
The Glass Bees,Ernst Junger,978-0940322554
On the Marble Cliffs,Ernst Jünger,978-1681376257
Songs of Kabir,Kabir,978-1590173794
Gaslight,Joachim; Cole Isabel Fargo Kalka,978-1681371184
"Max in Hollywood, Baby",Maira Kalman,978-1681372341
Max Makes a Million,Maira Kalman,978-1681371702
Ooh-la-la (Max in Love),Maira Kalman,978-1681372457
Swami on Rye,Maira Kalman,978-1681372365
A Journey Round My Skull,Frigyes Karinthy,978-1590172582
Almost Nothing,Eric Karpeles,978-1681372846
Going to the Dogs,Erich Kastner,978-1590175842
Machines in the Head,Anna; Walker Victoria Kavan,978-1681374147
Good Behaviour,Molly Keane,978-1681375298
The World I Live In,Helen Keller,978-1590170670
"Memed, My Hawk",Yashar Kemal,978-1590171394
They Burn the Thistles,Yashar Kemal,978-1590171851
All for Nothing,Walter Kempowski,978-1681372051
An Ordinary Youth,Walter Kempowski,978-1681377209
Marrow and Bone,Walter; Collins Charlotte Kempowski,978-1681374352
Part of Our Time,Murray Kempton,978-1590170878
Ride a Cockhorse,Raymond Kennedy,978-1590174890
The Gull Yettin,Joe Kessler,978-1681377391
Peking Story,David Kidd,978-1590170403
The Living Thoughts of Kierkegaard,Kierkegaard,978-0940322134
Rombo,Esther; Schmidt Caroline Kinsky,978-1681377247
The Secret Commonwealth,Robert Kirk,978-1590171776
Spiral and Other Stories,Aidan; Rudick Nicole Koch,978-1681378350
Jejuri,Arun Koltkar,978-1590171639
An African in Greenland,Tete-Michel Kpomassie,978-0940322882
Everything Under a Mushroom,Ruth; Tomes Margot Krauss,978-1681378442
Havoc,Tom Kristensen,978-1681372075
Sunflower,Gyula Krudy,978-1590171868
The Adventures of Sindbad,Gyula Krudy,978-1590174456
Our Life Grows,Ryszard; Valles Alissa; Michnik Adam Krynicki,978-1681371603
Unwitting Street,Sigizmund; Turnbull Joanne; Formozov Nikolai Krzhizhanovskiĭ,978-1681374888
Autobiography of a Corpse,Sigizmund Krzhizhanovsky,978-1590176702
Memories of the Future,Sigizmund Krzhizhanovsky,978-1590173190
The Letter Killers Club,Sigizmund Krzhizhanovsky,978-1590174500
The Return of Munchausen,Sigizmund Krzhizhanovsky,978-1681370286
